company,company_formal,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,industry,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44
Alkyl Amines Chemicals,ALKYL AMINES CHEMICALS LTD.,4.1,275,4.2,4.1,3.8,4.0,4.1,4.0,3.4,10903,,20101031227,Alkyl Amines Group,1,5.008480499e+19,Other amine function compounds,101012035000000,Organic chemicals,200101090000,20119,Manufacture of organic and inorganic chemical compounds n.e.c.,1979,Chemical & Allied Products,10903,20240331,12,INDAS,14556.6,14406.0,75.9,13143.8,951.4,878.4,53.4,1488.7,19191.5,1468.0,63.0,2.0,ALKYL AMINES CHEMICALS LTD.,19191.5,275.0,Matched (3)
All E Technologies,ALL E TECHNOLOGIES LTD.,3.1,213,3.0,3.2,3.0,3.0,2.9,3.2,2.9,10920,ALL E TECHNOLOGIES,20102000000,Private (Indian),1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,2000,IT Sector,10920,20240331,12,IGAAP,978.2,907.1,,820.8,386.7,376.1,2.1,157.4,1350.4,299.0,,,ALL E TECHNOLOGIES LTD.,1350.4,213.0,Matched (3)
Allcargo Logistics,ALLCARGO LOGISTICS LTD.,3.8,500,3.8,3.7,3.5,3.6,3.6,3.6,3.2,11063,,20101031228,Allcargo Group,1,8.0122404e+19,Cargo handling,101040509000000,Transport logistics services,520200000000,522,Support activities for transportation,1993,Transportation & Logistics,11063,20240331,12,INDAS,18845.5,16332.9,,16815.7,1214.7,1124.6,55.5,2029.8,23559.9,537.0,100.0,0.0,ALLCARGO LOGISTICS LTD.,23559.9,500.0,Matched (3)
Allied Digital Services,ALLIED DIGITAL SERVICES LTD.,3.3,651,3.2,3.2,3.0,3.0,3.1,3.0,2.6,11303,,20101031284,Allied Group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1995,IT Sector,11303,20240331,12,INDAS,2878.8,2868.4,53.0,2709.8,904.1,880.6,5.5,222.0,6102.1,1636.0,,,ALLIED DIGITAL SERVICES LTD.,6102.1,651.0,Matched (3)
Alok Industries,ALOK INDUSTRIES LTD.,3.7,782,3.8,3.6,3.2,3.5,3.5,3.5,2.9,11599,ALOK INDUSTRIES,20101031230,Alok Group,1,3.612e+19,Cotton textiles,101011525000000,Diversified cotton textile,130103010000,13131,Finishing of cotton and blended cotton textiles.,1986,Textiles & Garments,11599,20240331,12,INDAS,54108.8,53936.7,-801.3,61444.6,4125.5,3974.7,141.9,-8137.1,108086.1,22245.0,,,ALOK INDUSTRIES LTD.,108086.1,782.0,Matched (3)
Alps Industries,ALPS INDUSTRIES LTD.,3.6,73,3.5,3.8,3.0,3.5,3.2,3.4,2.7,11955,ALPS INDS.,20101031231,Alps Industries Group,1,3.6120804e+19,Cotton yarn,101011501000000,Cotton & blended yarn,130101010000,13111,Preparation and spinning of cotton fiber including blended* cotton,1972,Textiles & Garments,11955,20240331,12,INDAS,56.8,19.1,,619.2,3.1,3.1,,-562.4,96.0,4.0,,,ALPS INDUSTRIES LTD.,96.0,73.0,Matched (3)
Amber Enterprises India,AMBER ENTERPRISES INDIA LTD.,3.9,614,3.6,3.6,3.6,3.6,3.6,3.8,3.4,12881,,20101031235,Amber group,1,6.308360812e+19,Accessories of air conditioners & refrigerators,101012525010000,Air-conditioners & refrigerators,280109090000,28199,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines other than for metals or glass; gaskets and similar joints made of a combination of materials or layers of the same material and other general purpose machinery including Manufacture of parts and accessories for general purpose machinery and equipment.)",1990,Consumer Goods & Durables,12881,20240331,12,INDAS,45622.1,45097.0,-242.0,44974.5,1211.6,1002.2,72.6,405.6,49788.5,16938.0,2449.0,7.0,AMBER ENTERPRISES INDIA LTD.,49788.5,614.0,Matched (3)
Ambuja Cements,AMBUJA CEMENTS LTD.,3.9,1.9k,3.4,3.6,3.5,3.5,3.5,3.7,3.2,86607,GUJARAT AMBUJA,20101015100,Adani Group,1,5.4060612e+19,Cement,101013001000000,Cement,230904010000,23941,Manufacture of clinkers and cement,1981,Diversified / Miscellaneous,86607,20240331,12,INDAS,206604.4,196904.9,47.8,183305.3,5879.8,4362.0,476.8,23346.9,444898.5,4330.0,92.0,17.0,AMBUJA CEMENTS LTD.,444898.5,1900.0,Matched (3)
Anant Raj,ANANT RAJ LTD.,3.8,76,3.6,3.9,3.9,3.6,3.6,3.4,3.5,14897,ANANT RAJ INDS.,20101031243,Anant Raj Group,1,7.41206e+19,Housing real estate,101060101000000,Housing construction,410101010000,41001,Construction of buildings carried out on own-account basis or on a fee or contract basis,1985,Construction & Real Estate,14897,20240331,12,INDAS,9028.3,7988.0,,7666.8,139.6,129.8,8.4,1361.5,42813.8,204.0,28.0,0.0,ANANT RAJ LTD.,42813.8,76.0,Matched (3)
Andhra Paper,ANDHRA PAPER LTD.,3.8,179,4.1,3.7,3.2,3.5,3.4,3.5,2.9,15270,AP PAPER,20101012204,Bangur Shreekumar Group,1,4.61212e+19,Paper,101015001050000,Paper & newsprint,170101030000,17013,Manufacture of paper and paper rolls not further processed,1964,Diversified / Miscellaneous,15270,20240331,12,INDAS,18955.2,18005.8,145.3,15703.1,1693.1,1604.8,38.0,3397.4,29905.6,4835.0,130.0,0.0,ANDHRA PAPER LTD.,29905.6,179.0,Matched (3)
Andhra Petrochemicals,ANDHRA PETROCHEMICALS LTD.,4.1,92,4.2,4.1,3.4,4.0,3.7,3.8,2.9,15246,,20101020116,Andhra Sugar Group,1,5.00816e+19,Alcohols & their derivatives,101012035000000,Organic chemicals,200101090000,20119,Manufacture of organic and inorganic chemical compounds n.e.c.,1984,Chemical & Allied Products,15246,20240331,12,INDAS,8232.7,7977.6,-296.5,7302.2,272.1,245.7,19.3,634.0,7011.7,321.0,,,ANDHRA PETROCHEMICALS LTD.,7011.7,92.0,Matched (3)
Angel One,ANGEL ONE LTD.,3.9,1.7k,3.7,3.8,3.7,3.6,3.8,3.7,3.4,130887,M BNL SECURITIES,20101031244,Angel Group,2,8.5080304e+19,Securities broking/commission services,102050100000000,Securities broking,660102010000,66120,Security and commodity contracts brokerage,1996,Financial Services,130887,20240331,12,FS_INDAS,42555.8,34.6,,31225.1,5370.4,4496.5,211.3,11330.7,140582.7,3767.0,1320.0,28.0,ANGEL ONE LTD.,140582.7,1700.0,Matched (3)
Ansal Buildwell,ANSAL BUILDWELL LTD.,3.6,61,3.5,3.8,3.0,3.5,3.5,3.3,2.6,16814,ANSAL,20101031246,Ansal Group,1,7.41206e+19,Housing real estate,101060101000000,Housing construction,410101010000,41001,Construction of buildings carried out on own-account basis or on a fee or contract basis,1983,Construction & Real Estate,16814,20240331,12,INDAS,429.7,414.6,357.5,696.1,127.5,124.6,2.7,91.1,4111.4,158.0,,,ANSAL BUILDWELL LTD.,4111.4,61.0,Matched (3)
Ansal Housing,ANSAL HOUSING LTD.,3.9,103,4.1,4.1,3.5,3.9,3.8,3.6,3.4,16820,,20101031246,Ansal Group,1,7.41206e+19,Housing real estate,101060101000000,Housing construction,410101010000,41001,Construction of buildings carried out on own-account basis or on a fee or contract basis,1983,Construction & Real Estate,16820,20240331,12,INDAS,3898.3,3803.7,-2107.9,1752.9,110.3,106.8,3.5,37.5,17040.5,197.0,,,ANSAL HOUSING LTD.,17040.5,103.0,Matched (3)
Ansal Properties & Infrastructure,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,3.6,167,3.3,3.6,3.3,3.6,3.5,3.4,3.1,16823,ANSAL PROPERTIES,20101031246,Ansal Group,1,7.41206e+19,Housing real estate,101060101000000,Housing construction,410101010000,41001,Construction of buildings carried out on own-account basis or on a fee or contract basis,1967,Construction & Real Estate,16823,20240331,12,INDAS,4906.9,4782.9,-1554.1,3303.6,171.0,165.2,3.8,49.2,47182.2,217.0,,,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,47182.2,167.0,Matched (3)
Apar Industries,APAR INDUSTRIES LTD.,4.1,696,3.8,3.9,4.0,3.7,3.8,3.8,3.6,17728,APAR,20101031248,Apar Group,1,6.036181206e+19,Transformer oil,101012050050000,"Lubricants, etc.",190201010000,19201,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals",1989,Energy & Utilities,17728,20240331,12,INDAS,152589.1,151667.3,1356.1,145712.4,2867.7,2485.9,155.7,8232.8,91184.6,8599.0,218.0,8.0,APAR INDUSTRIES LTD.,91184.6,696.0,Matched (3)
Apollo Hospitals Enterprise,APOLLO HOSPITALS ENTERPRISE LTD.,4.1,4.9k,4.0,3.9,3.7,3.8,3.9,4.0,3.5,18102,APOLLO HOSPITALS,20101031251,Apollo Hospitals Group,1,8.0400804e+19,"Hospitals, health care centres, etc.",101041515000000,Health services,860101010000,86100,Hospital activities,1979,Healthcare & Pharmaceuticals,18102,20240331,12,INDAS,74537.0,72738.0,,64432.0,14252.0,12795.0,1397.0,10105.0,144756.0,18669.0,,,APOLLO HOSPITALS ENTERPRISE LTD.,144756.0,4900.0,Matched (3)
Apollo Pipes,APOLLO PIPES LTD.,4.0,201,3.8,3.8,3.9,3.8,3.6,3.7,3.6,14344,,20101031206,APL Apollo Group,1,5.05608e+19,Plastic products,101012045400000,"Plastic furniture, floorings & miscellaneous items",220200000000,222,Manufacture of plastics products,1985,Diversified / Miscellaneous,14344,20240331,12,INDAS,9810.5,9771.4,30.2,9416.3,612.8,581.6,21.9,424.4,8259.8,728.0,13.0,0.0,APOLLO PIPES LTD.,8259.8,201.0,Matched (3)
Apollo Tyres,APOLLO TYRES LTD.,4.0,2.5k,3.8,3.8,3.6,3.7,3.8,3.8,3.2,18151,APOLLO TYRES,20101014100,Raunaq Singh Group,1,5.056123204e+19,Tyres,101014502052000,Tyres & tubes,220101090000,22119,Manufacture of rubber tyres and tubes n.e.c.,1972,Plastics & Packaging,18151,20240331,12,INDAS,176751.3,173015.3,-229.5,164981.5,11532.9,9817.7,1269.4,11540.3,206233.7,15457.0,597.0,15.0,APOLLO TYRES LTD.,206233.7,2500.0,Matched (3)
